Seconds,Oyster.2 ,Oyster.3,Oyster.5
5832,535,535,545
5844,535,536,545
5856,536,536,543
5868,535,536,543
5880,536,536,543
5892,536,536,543
5904,536,537,543
5916,535,536,542
5928,535,536,542
5940,536,536,542
5952,534,537,542
5964,536,535,542
5976,535,535,542
5988,535,535,542
6000,534,535,542
6012,536,535,542
6024,534,535,542
6036,536,536,543
6048,534,536,543
6060,535,537,542
6072,540,544,545
6084,539,544,544
6096,539,543,545
6108,539,541,544
6120,539,539,544
6132,538,538,544
6144,538,539,543
6156,538,538,544
6168,537,538,544
6180,538,537,544
6192,538,536,544
6204,538,537,544
6216,537,538,543
6228,538,539,544
6240,537,539,544
6252,537,539,543
6264,537,538,544
6276,536,539,544
6288,536,538,543
6300,536,538,543
6312,536,538,544
6324,538,536,544
6336,537,536,543
6348,536,536,544
6360,537,536,544
6372,536,537,543
6384,537,536,544
6396,536,536,543
6408,536,536,543
6420,537,537,545
6432,536,537,544
6444,536,536,545
6456,536,537,545
6468,536,537,545
6480,536,536,544
6492,535,537,550
6504,535,537,547
6516,535,538,546
6528,536,536,545
6540,535,537,545
6552,535,537,546
6564,536,536,545
6576,536,536,545
6588,536,536,545
6600,535,537,545
6612,535,537,545
6624,537,536,546
6636,536,536,545
6648,535,536,545
6660,535,537,545
6672,536,537,545
6684,536,537,546
6696,535,538,547
6708,535,538,546
6720,535,538,546
6732,535,536,545
6744,536,538,546
6756,536,536,546
6768,536,536,545
6780,535,537,545
6792,535,536,546
6804,536,536,546
6816,536,536,547
6828,536,536,546
6840,535,537,545
6852,536,535,546
6864,535,537,546
6876,535,537,547
6888,535,538,547
6900,535,537,546
6912,535,536,546
6924,535,536,546
6936,535,537,546
6948,535,537,546
6960,536,536,546
6972,534,537,546
6984,535,536,546
6996,534,536,546
7008,536,536,546
7020,535,536,547
7032,534,536,546
7044,534,537,546
7056,534,536,545
7068,534,537,546
7080,534,536,545
7092,534,537,546
7104,534,537,546
7116,534,536,546
